id,title,description,availability,condition,price,link,image_link,brand
LP-001,Diamond Triangle Pendant,18K Solid Gold pendant with 0.15ct natural diamonds. Minimalist geometric design.,in stock,in stock,845 EUR,https://lapomellia.com,https://sc01.alicdn.com/kf/H8cfbcbf3b0d3422aa7f74d2e19c05c57l.png,La Pomellia
LP-002,Liquid Gold Pendant,Sculptural 18K solid gold pendant inspired by fluid forms. High-polish finish.,in stock,in stock,745 EUR,https://lapomellia.com,https://sc02.alicdn.com/kf/A2f10bb6b9e324662baaad8c959a4a4987.png,La Pomellia
LP-003,Trinity Ear Cuff,18K Solid Gold triple-band ear cuff. Available in yellow or tri-color gold.,in stock,in stock,218 EUR,https://lapomellia.com,https://sc01.alicdn.com/kf/H8fc0ac1470a5428ead71a79419af02beM.png,La Pomellia
LP-004,Overtone Hoop Earrings,Two-tone 18K yellow and white gold hoop earrings. 26mm diameter.,in stock,in stock,645 EUR,https://lapomellia.com,https://sc01.alicdn.com/kf/Hc3fe8654779943399471779c04a85c2c0.png,La Pomellia
LP-005,Eclipse Drop Earrings,Hand-hammered 18K solid gold drop earrings with 'crushed ice' texture.,in stock,in stock,895 EUR,https://lapomellia.com,https://sc01.alicdn.com/kf/Hbc06c22ab9e64f3081a7a4abe752e12ca.png,La Pomellia
LP-006,Cat's Eye Knot Earrings,18K Solid Gold long knot earrings with 4.8mm gold beads. 50mm length.,in stock,in stock,825 EUR,https://lapomellia.com,https://sc01.alicdn.com/kf/H5c27b792e20e41e0bf7ec14ece2ce554s.jpg,La Pomellia
LP-007,Clover Peridot Pendant,18K Solid Gold clover pendant with 1.11ct natural peridot.,in stock,in stock,475 EUR,https://lapomellia.com,https://sc01.alicdn.com/kf/H6e3c8782b2484e19bd50dae993886901i.jpg,La Pomellia
LP-008,Ruby & Diamond Bracelet,18K Solid Gold bracelet with 0.238ct ruby and 0.07ct diamonds. 18.5cm length.,in stock,in stock,985 EUR,https://lapomellia.com,https://sc01.alicdn.com/kf/Ha2e53ce1f963467680b4806fcfc27b5fl.jpg,La Pomellia
LP-009,Wind Sculptural Pendant,18K Solid Gold pendant inspired by wind motion. Available with tsavorites or diamonds.,in stock,in stock,675 EUR,https://lapomellia.com,https://sc01.alicdn.com/kf/H4d8a284e535b4a12abde2483d7a60a7cL.png,La Pomellia
LP-010,Tempo Ring,18K Solid Gold ring with alternating high-polish and diamond-cut segments.,in stock,in stock,495 EUR,https://lapomellia.com,https://sc01.alicdn.com/kf/H8e20bf2fa5cc4cd28e2c090132a5dd59X.jpg,La Pomellia
LP-011,Infinite Hoop Earrings (40mm),"Hand-crafted 18K solid gold hoop earrings. 40mm diameter, 1.5mm tube thickness.",in stock,in stock,795 EUR,https://lapomellia.com,https://sc02.alicdn.com/kf/H8eb9a949be4947568cc23bae8195221cV.jpg,La Pomellia
LP-012,Infinite Hoop Earrings (50mm),"Hand-crafted 18K solid gold hoop earrings. 50mm diameter, 1.5mm tube thickness.",in stock,in stock,885 EUR,https://lapomellia.com,https://sc02.alicdn.com/kf/Hf517a048df8d442d874089f4045a930e4.jpg,La Pomellia
